Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
21,GTD,Luis Perez Companc,13,01:48.9,24:19.0,Green,Track,26.224,50.527,32.117
42,GTD,Don Yount,13,01:49.7,24:25.5,Green,Track,25.892,50.678,33.08
64,GTD,Ted Giovanis,13,01:53.9,25:14.0,Green,Track,28.044,52.006,33.813
59,GTD,Jon Miller,14,01:47.4,25:20.3,Green,Track,25.352,50.152,31.904
70,GTD,Frederik Schandorff,14,01:47.5,25:22.3,Green,Track,25.46,50.1,31.954
28,GTD,Daniel Morad,14,01:48.0,25:24.9,Green,Track,25.937,50.485,31.605
57,GTD,Russell Ward,14,01:49.2,25:25.5,Green,Track,25.927,51.121,32.105
12,GTD,Frankie Montecalvo,14,01:49.0,25:29.0,Green,Track,26.406,50.651,31.967
98,GTD,David Pittard,14,01:47.5,25:30.6,Green,Track,25.637,50.214,31.638
32,GTD,Mike Skeen,14,01:47.3,25:31.3,Green,Track,25.903,49.956,31.489
47,GTD,Giorgio Sernagiotto,14,01:47.6,25:33.4,Green,Track,25.636,49.991,31.929
39,GTD,Corey Lewis,14,01:47.8,25:34.1,Green,Track,25.511,50.026,32.23
